Проект;Шкаф;Артикул;Наименование;Вид номенклатуры;Название этапа;Шаблон врмени в минутах
4350-ПР-ША-XX-ЕА (8290) БХК ТП 968_ЗИП_chint_заказная;ЗИП;CNT308614;Ограничитель имп. перенапр. NXU-Ⅰ+Ⅱ/F 4P In=25kA Uc=385В Im=50kA (R);Прочее;Дополнительные работы;120
4350-ПР-ША-XX-ЕА (8290) БХК ТП 968_ЗИП_chint_заказная;ЗИП;CNT271391;Авт. выкл. NM8N-250Q EM 3P 32А 70кА с электр. расцепителем, LCD (R);Автоматические Выключатели;Сборка корпуса;105
4350-ПР-ША-XX-ЕА (8290) БХК ТП 968_ЗИП_chint_заказная;ЗИП;CNT271393;Авт. выкл. NM8N-250Q EM 3P 100А 70кА с электр. расцепителем, LCD (R);Автоматические Выключатели;Сборка корпуса;105
4350-ПР-ША-XX-ЕА (8290) БХК ТП 968_ЗИП_chint_заказная;ЗИП;CNT271394;Авт. выкл. NM8N-250Q EM 3P 160А 70кА с электр. расцепителем, LCD (R);Автоматические Выключатели;Сборка корпуса;105
4350-ПР-ША-XX-ЕА (8290) БХК ТП 968_ЗИП_chint_заказная;ЗИП;CNT271395;Авт. выкл. NM8N-250Q EM 3P 250А 70кА с электр. расцепителем, LCD (R);Автоматические Выключатели;Сборка корпуса;105
4350-ПР-ША-XX-ЕА (8290) БХК ТП 968_ЗИП_chint_заказная;ЗИП;CNT269457;Авт. выкл. NM8N-400Q EM 3P 400А 70кА с электр. расцепителем, LCD (R);Автоматические Выключатели;Сборка корпуса;105
4350-ПР-ША-XX-ЕА (8290) БХК ТП 968_ЗИП_chint_заказная;ЗИП;CNT269482;Авт. выкл. NM8N-630Q EM 3P 630А 70кА с электр. расцепителем, LCD (R);Автоматические Выключатели;Сборка корпуса;105
4350-ПР-ША-XX-ЕА (8290) БХК ТП 968_ЗИП_chint_заказная;ЗИП;CNT269674;Ручной дистанционный привод ERH23-M8 для NM8N-400/630 EN (R);Прочее;Дополнительные работы;120
4350-ПР-ША-XX-ЕА (8290) БХК ТП 968_ЗИП_chint_заказная;ЗИП;CNT269670;Ручной дистанционный привод ERH22-M8 для NM8N-250 EN (R);Прочее;Дополнительные работы;120
4350-ПР-ША-XX-ЕА (8290) БХК ТП 968_ЗИП_chint_заказная;ЗИП;CNT265343;Универсальный доп. контакт AL/AX-21-M8 для NM8N (R);Прочее;Дополнительные работы;120
